scenario,relationship_type,rows,is_null,candidate_count,evaluated_candidate_count,evaluated_chart_types,mean_score,max_score,pct_above_50,pct_above_65,elapsed_seconds
null_all_noise_seed_0,null_all_noise,500,True,23,23,all,36.7891304347826,41.67,0.0,0.0,0.27357854199999565
null_skewed_scatter_seed_0,null_scatter_skewed,500,True,3,1,scatter,35.68,35.68,0.0,0.0,0.05692349999981161
null_outlier_scatter_seed_0,null_scatter_outliers,500,True,3,1,scatter,37.53,37.53,0.0,0.0,0.0488141660000565
null_small_sample_seed_0,null_scatter_small_sample,30,True,6,3,scatter,36.87333333333333,40.25,0.0,0.0,0.0551109580001139
null_temporal_noise_seed_0,null_line_white_noise,500,True,2,1,line,36.23,36.23,0.0,0.0,0.013420499999938329
null_group_effect_seed_0,null_group_random,500,True,4,3,"bar,box",36.68666666666667,39.16,0.0,0.0,0.018679042000030677
null_all_noise_seed_1,null_all_noise,500,True,23,23,all,36.84086956521739,40.31,0.0,0.0,0.2767303749999428
null_skewed_scatter_seed_1,null_scatter_skewed,500,True,3,1,scatter,35.68,35.68,0.0,0.0,0.0502000419999149
null_outlier_scatter_seed_1,null_scatter_outliers,500,True,3,1,scatter,36.25,36.25,0.0,0.0,0.05148629199993593
null_small_sample_seed_1,null_scatter_small_sample,30,True,6,3,scatter,38.699999999999996,43.25,0.0,0.0,0.054843124999933934
null_temporal_noise_seed_1,null_line_white_noise,500,True,2,1,line,39.92,39.92,0.0,0.0,0.014416666999977679
null_group_effect_seed_1,null_group_random,500,True,4,3,"bar,box",35.99666666666667,37.64,0.0,0.0,0.016890458000034414
null_all_noise_seed_2,null_all_noise,500,True,23,23,all,36.01565217391305,38.2,0.0,0.0,0.2731309999999212
null_skewed_scatter_seed_2,null_scatter_skewed,500,True,3,1,scatter,35.91,35.91,0.0,0.0,0.058402833999934956
null_outlier_scatter_seed_2,null_scatter_outliers,500,True,3,1,scatter,36.17,36.17,0.0,0.0,0.04921554199995626
null_small_sample_seed_2,null_scatter_small_sample,30,True,6,3,scatter,35.483333333333334,36.76,0.0,0.0,0.05446616699987317
null_temporal_noise_seed_2,null_line_white_noise,500,True,2,1,line,38.2,38.2,0.0,0.0,0.012459958999897935
null_group_effect_seed_2,null_group_random,500,True,4,3,"bar,box",37.78666666666667,42.32,0.0,0.0,0.017823417000045083
null_all_noise_seed_3,null_all_noise,500,True,23,23,all,36.6204347826087,42.67,0.0,0.0,0.2718529580001814
null_skewed_scatter_seed_3,null_scatter_skewed,500,True,3,1,scatter,37.34,37.34,0.0,0.0,0.05381899999997586
null_outlier_scatter_seed_3,null_scatter_outliers,500,True,3,1,scatter,36.42,36.42,0.0,0.0,0.04734216699989702
null_small_sample_seed_3,null_scatter_small_sample,30,True,6,3,scatter,35.413333333333334,35.84,0.0,0.0,0.05543325000007826
null_temporal_noise_seed_3,null_line_white_noise,500,True,2,1,line,37.75,37.75,0.0,0.0,0.01350545900004363
null_group_effect_seed_3,null_group_random,500,True,4,3,"bar,box",36.1,38.0,0.0,0.0,0.017679583000017374
null_all_noise_seed_4,null_all_noise,500,True,23,23,all,36.36173913043478,39.66,0.0,0.0,0.2747540410000511
null_skewed_scatter_seed_4,null_scatter_skewed,500,True,3,1,scatter,36.79,36.79,0.0,0.0,0.0601386249998086
null_outlier_scatter_seed_4,null_scatter_outliers,500,True,3,1,scatter,36.56,36.56,0.0,0.0,0.05323541699999623
null_small_sample_seed_4,null_scatter_small_sample,30,True,6,3,scatter,36.44,37.63,0.0,0.0,0.054934333000119295
null_temporal_noise_seed_4,null_line_white_noise,500,True,2,1,line,38.73,38.73,0.0,0.0,0.013435166999897774
null_group_effect_seed_4,null_group_random,500,True,4,3,"bar,box",35.92666666666667,37.67,0.0,0.0,0.01827670800003034
