scenario,relationship_type,rows,is_null,candidate_count,expected_rank,type_specific_rank,expected_score,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,elapsed_seconds
strong_linear_n500_seed_0,strong_linear_n500,500,False,19,1,1,98.11,True,True,True,1.0,0.3054620420000447
strong_linear_n30_seed_0,strong_linear_n30,30,False,19,1,1,89.57,True,True,True,1.0,0.1292794999999387
strong_linear_n75_seed_0,strong_linear_n75,75,False,19,1,1,94.83,True,True,True,1.0,0.1357682919999661
strong_linear_n150_seed_0,strong_linear_n150,150,False,19,1,1,97.48,True,True,True,1.0,0.18373637500008044
weak_linear_seed_0,weak_linear,500,False,19,1,1,63.68,True,True,True,1.0,0.2641389170000821
linear_40pct_missing_seed_0,linear_40pct_missing,500,False,19,1,1,90.12,True,True,True,1.0,0.24211683299995457
quadratic_strong_seed_0,nonlinear_quadratic_strong,500,False,19,1,1,97.55,True,True,True,1.0,0.29032887500011384
quadratic_noisy_seed_0,nonlinear_quadratic_noisy,500,False,19,1,1,81.67,True,True,True,1.0,0.2593392500000391
sinusoidal_seed_0,nonlinear_sinusoidal,500,False,19,1,1,96.0,True,True,True,1.0,0.2586108329999206
symmetric_threshold_seed_0,nonlinear_threshold,500,False,19,1,1,87.96,True,True,True,1.0,0.25266724999983126
categorical_effect_seed_0,categorical_effect,500,False,20,1,1,89.19,True,True,True,1.0,0.17125275000012152
imbalanced_category_seed_0,category_imbalance,500,False,13,1,1,56.7,True,True,True,1.0,0.08201904199995624
temporal_trend_seed_0,temporal_trend,500,False,16,1,1,90.49,True,True,True,1.0,0.16023524999991423
temporal_seasonality_seed_0,temporal_seasonality,730,False,16,1,1,97.0,True,True,True,1.0,0.19271824999987075
temporal_change_point_seed_0,temporal_change_point,500,False,16,1,1,92.4,True,True,True,1.0,0.15339662500014128
trend_and_seasonality_seed_0,temporal_trend_seasonality,730,False,16,1,1,97.0,True,True,True,1.0,0.18666491699991639
temporal_volatility_shift_seed_0,temporal_volatility_shift,500,False,16,1,1,99.0,True,True,True,1.0,0.1703495419999399
skewed_distribution_seed_0,skewed_distribution,500,False,13,1,1,84.57,True,True,True,1.0,0.1530725000000075
outlier_distribution_seed_0,outlier_distribution,500,False,13,1,1,66.63,True,True,True,1.0,0.15189204199987216
strong_linear_n500_seed_1,strong_linear_n500,500,False,19,1,1,97.12,True,True,True,1.0,0.269583166999837
strong_linear_n30_seed_1,strong_linear_n30,30,False,19,1,1,89.99,True,True,True,1.0,0.12637162500004706
strong_linear_n75_seed_1,strong_linear_n75,75,False,19,1,1,94.85,True,True,True,1.0,0.13609929200015358
strong_linear_n150_seed_1,strong_linear_n150,150,False,19,1,1,97.8,True,True,True,1.0,0.18721191599979647
weak_linear_seed_1,weak_linear,500,False,19,1,1,58.58,True,True,True,1.0,0.2650329170000987
