relationship_type,datasets,rows_per_dataset,top_1_pct,top_3_pct,top_5_pct,mean_reciprocal_rank,median_rank,median_type_rank,mean_score
categorical_effect,5,500,100.0,100.0,100.0,1.0,1.0,1.0,89.328
category_imbalance,5,500,100.0,100.0,100.0,1.0,1.0,1.0,59.072
linear_40pct_missing,5,500,100.0,100.0,100.0,1.0,1.0,1.0,89.794
nonlinear_quadratic_noisy,5,500,100.0,100.0,100.0,1.0,1.0,1.0,79.994
nonlinear_quadratic_strong,5,500,100.0,100.0,100.0,1.0,1.0,1.0,97.16799999999999
nonlinear_sinusoidal,5,500,100.0,100.0,100.0,1.0,1.0,1.0,95.876
nonlinear_threshold,5,500,100.0,100.0,100.0,1.0,1.0,1.0,87.924
outlier_distribution,5,500,100.0,100.0,100.0,1.0,1.0,1.0,65.59200000000001
skewed_distribution,5,500,100.0,100.0,100.0,1.0,1.0,1.0,81.99199999999999
strong_linear_n150,5,150,100.0,100.0,100.0,1.0,1.0,1.0,97.796
strong_linear_n30,5,30,100.0,100.0,100.0,1.0,1.0,1.0,90.53200000000001
strong_linear_n500,5,500,100.0,100.0,100.0,1.0,1.0,1.0,97.67200000000001
strong_linear_n75,5,75,100.0,100.0,100.0,1.0,1.0,1.0,94.904
temporal_change_point,5,500,100.0,100.0,100.0,1.0,1.0,1.0,94.048
temporal_seasonality,5,730,100.0,100.0,100.0,1.0,1.0,1.0,97.0
temporal_trend,5,500,100.0,100.0,100.0,1.0,1.0,1.0,91.062
temporal_trend_seasonality,5,730,100.0,100.0,100.0,1.0,1.0,1.0,97.0
temporal_volatility_shift,5,500,100.0,100.0,100.0,1.0,1.0,1.0,99.0
weak_linear,5,500,100.0,100.0,100.0,1.0,1.0,1.0,59.602
