family,strength_index,level,scenarios,median_score,mean_score,p10_score,p90_score,median_signal,median_skewness,median_tail_asymmetry,median_outlier_pct
bimodality,0,ordinary,25,35.0,35.6004,35.0,36.61000000000001,0.0,-0.03699630739050636,0.020265402740973566,0.7000000000000001
bimodality,1,weak,25,35.0,35.2048,35.0,35.0,0.0,-0.014525894864798897,0.017784443527276282,0.3
bimodality,2,moderate,25,71.85,71.3776,68.72200000000001,72.89,56.7,-0.0026790125744298047,0.032477330915183705,0.0
bimodality,3,strong,25,84.39,84.3004,83.956,84.588,75.99,-0.0006067282261496273,0.15198586534790573,0.0
bimodality,4,extreme,25,86.97,86.9436,86.84,87.0,79.96,0.008365289817851684,0.3486361917756029,0.0
combined_right_tail,0,ordinary,25,35.0,35.6304,35.0,36.814,0.0,-0.022273849184646564,0.02117295696598481,0.8
combined_right_tail,1,weak,25,47.19,47.309200000000004,45.432,49.232,18.75,2.6105638734998635,0.13938605318196243,2.3
combined_right_tail,2,moderate,25,60.79,60.722,58.612,62.862,39.68,3.302592718684057,0.3071774696406884,5.1
combined_right_tail,3,strong,25,79.33,79.166,78.082,80.708,68.19,2.9327034169262314,0.5229043809735565,9.0
combined_right_tail,4,extreme,25,91.19,91.29440000000001,90.832,92.224,86.45,2.4212555123799384,0.8209475309032568,13.100000000000001
skewness,0,ordinary,25,35.0,35.6304,35.0,36.814,0.0,-0.022273849184646564,0.02117295696598481,0.8
skewness,1,weak,25,45.72,45.3996,40.85,48.676,16.5,0.5688115959053958,0.12281860528233514,1.4000000000000001
skewness,2,moderate,25,54.97,55.2772,51.892,58.436,30.73,1.2329865777194104,0.24434513316599624,2.9000000000000004
skewness,3,strong,25,67.11,67.366,63.574,70.832,49.4,2.3003714502970753,0.385507989050268,4.8
skewness,4,extreme,25,78.3,78.1772,74.98,80.56400000000001,66.61,3.7576917569278785,0.5099895036602397,6.800000000000001
symmetric_outliers,0,ordinary,25,35.0,35.6304,35.0,36.814,0.0,-0.022273849184645474,0.021172956965985087,0.8
symmetric_outliers,1,weak,25,41.82,41.635600000000004,38.402,45.044000000000004,10.5,0.18303353302385286,0.021079190759393285,1.7000000000000002
symmetric_outliers,2,moderate,25,52.06,52.2184,50.6,53.814,26.25,0.045081381103680575,0.012729216560665382,3.5000000000000004
symmetric_outliers,3,strong,25,64.47,64.67360000000001,63.772,65.33,45.33,0.0030997059392279874,0.022182557110779343,6.3
symmetric_outliers,4,extreme,25,77.59,77.49520000000001,77.25,77.76,65.52,-0.021881575334095783,0.023958740194231772,10.2
