name,family,level,strength_index,seed,observations,score,signal,visualization_quality,skewness,skew_score,outlier_rate,outlier_score,tail_asymmetry,tail_asymmetry_score
hist_skewness_ordinary_seed_0,skewness,ordinary,0,0,1000,35.0,0.0,100.0,-0.07334213344265386,0.0,0.009,0.0,0.04937296586298891,0.0
hist_outliers_ordinary_seed_0,symmetric_outliers,ordinary,0,0,1000,35.0,0.0,100.0,-0.07334213344265442,0.0,0.009,0.0,0.049372965862989185,0.0
hist_combined_tail_ordinary_seed_0,combined_right_tail,ordinary,0,0,1000,35.0,0.0,100.0,-0.07334213344265386,0.0,0.009,0.0,0.04937296586298891,0.0
hist_bimodality_ordinary_seed_0,bimodality,ordinary,0,0,1000,35.0,0.0,100.0,-0.03699630739050636,0.0,0.006,0.0,0.009977363985015905,0.0
hist_skewness_weak_seed_0,skewness,weak,1,0,1000,48.99,21.53,100.0,0.5608551653700709,8.695172179002363,0.017,10.500000000000002,0.17223102270744495,21.52887783843062
hist_outliers_weak_seed_0,symmetric_outliers,weak,1,0,1000,42.8,12.0,100.0,-0.46288550093664044,5.429516697888015,0.018,11.999999999999998,0.059263530752064246,1.9850423040137666
hist_combined_tail_weak_seed_0,combined_right_tail,weak,1,0,1000,50.43,23.75,100.0,2.6105638734998635,41.105638734998635,0.024,18.0,0.1899689643801669,23.74612054752086
hist_bimodality_weak_seed_0,bimodality,weak,1,0,1000,39.25,6.54,100.0,-0.16756261497478986,0.0,0.003,0.0,0.08049984990491772,6.535682122482369
hist_skewness_moderate_seed_0,skewness,moderate,2,0,1000,58.87,36.72,100.0,1.1959720628947632,21.919441257895265,0.03,22.5,0.2904170823269771,36.72227764359695
hist_outliers_moderate_seed_0,symmetric_outliers,moderate,2,0,1000,53.52,28.5,100.0,-0.8747654844283964,15.495309688567929,0.038,28.5,0.04425898245372528,0.0
hist_combined_tail_moderate_seed_0,combined_right_tail,moderate,2,0,1000,61.07,40.11,100.0,3.2220415739364348,47.22041573936435,0.051,37.33333333333333,0.31579578756498583,40.10610500866478
hist_bimodality_moderate_seed_0,bimodality,moderate,2,0,1000,73.96,59.94,100.0,-0.169481327742046,0.0,0.0,0.0,0.13341620267946655,16.67702533493332
hist_skewness_strong_seed_0,skewness,strong,3,0,1000,70.82,55.1,100.0,2.1197260781949345,36.197260781949346,0.048,35.333333333333336,0.4268495401382842,55.10224401914704
hist_outliers_strong_seed_0,symmetric_outliers,strong,3,0,1000,66.63,48.67,100.0,-0.40196884754630097,3.3989615848766994,0.068,48.666666666666664,0.03752960971107308,0.0
hist_combined_tail_strong_seed_0,combined_right_tail,strong,3,0,1000,80.74,70.38,100.0,2.85316571788698,43.5316571788698,0.09,59.99999999999999,0.5556357088941961,70.37571392627974
hist_bimodality_strong_seed_0,bimodality,strong,3,0,1000,84.57,76.27,100.0,-0.16001996690923054,0.0,0.0,0.0,0.34845434028575895,44.46057870476786
