scenario,relationship_type,is_null,candidate_count,expected_rank,type_specific_rank,expected_score,hit_at_1,hit_at_3,hit_at_5,reciprocal_rank,elapsed_seconds
strong_linear_seed_0,strong_linear,False,19,1,1,98.11,True,True,True,1.0,0.784953124995809
weak_linear_seed_0,weak_linear,False,19,1,1,63.68,True,True,True,1.0,0.04207383398897946
quadratic_seed_0,nonlinear_quadratic,False,19,2,1,43.26,False,True,True,0.5,0.041354541026521474
categorical_effect_seed_0,categorical_effect,False,20,1,1,89.19,True,True,True,1.0,0.04860174999339506
temporal_trend_seed_0,temporal_trend,False,16,1,1,90.49,True,True,True,1.0,0.03968666700529866
skewed_distribution_seed_0,skewed_distribution,False,13,1,1,89.45,True,True,True,1.0,0.02978508299565874
outlier_distribution_seed_0,outlier_distribution,False,13,1,1,56.38,True,True,True,1.0,0.02915366701199673
imbalanced_category_seed_0,category_imbalance,False,13,1,1,56.7,True,True,True,1.0,0.03192116698483005
strong_linear_seed_1,strong_linear,False,19,1,1,97.12,True,True,True,1.0,0.04160262501682155
weak_linear_seed_1,weak_linear,False,19,1,1,58.58,True,True,True,1.0,0.049094082991359755
quadratic_seed_1,nonlinear_quadratic,False,19,9,4,36.66,False,False,False,0.1111111111111111,0.041083167016040534
categorical_effect_seed_1,categorical_effect,False,20,1,1,89.27,True,True,True,1.0,0.04734375001862645
temporal_trend_seed_1,temporal_trend,False,16,1,1,92.68,True,True,True,1.0,0.03456404199823737
skewed_distribution_seed_1,skewed_distribution,False,13,1,1,86.32,True,True,True,1.0,0.02872954201302491
outlier_distribution_seed_1,outlier_distribution,False,13,1,1,64.07,True,True,True,1.0,0.028751167003065348
imbalanced_category_seed_1,category_imbalance,False,13,1,1,61.31,True,True,True,1.0,0.03211775000090711
strong_linear_seed_2,strong_linear,False,19,1,1,97.79,True,True,True,1.0,0.04104016697965562
weak_linear_seed_2,weak_linear,False,19,1,1,61.46,True,True,True,1.0,0.041590957989683375
quadratic_seed_2,nonlinear_quadratic,False,19,9,3,36.84,False,False,False,0.1111111111111111,0.04146454198053107
categorical_effect_seed_2,categorical_effect,False,20,1,1,90.08,True,True,True,1.0,0.04843262501526624
temporal_trend_seed_2,temporal_trend,False,16,1,1,90.39,True,True,True,1.0,0.03496849999646656
skewed_distribution_seed_2,skewed_distribution,False,13,1,1,89.55,True,True,True,1.0,0.02921816598973237
outlier_distribution_seed_2,outlier_distribution,False,13,1,1,51.83,True,True,True,1.0,0.029280707996804267
imbalanced_category_seed_2,category_imbalance,False,13,1,1,61.02,True,True,True,1.0,0.031993792013963684
strong_linear_seed_3,strong_linear,False,19,1,1,97.67,True,True,True,1.0,0.04099645800306462
weak_linear_seed_3,weak_linear,False,19,1,1,56.81,True,True,True,1.0,0.0409208339988254
quadratic_seed_3,nonlinear_quadratic,False,19,5,3,39.59,False,False,True,0.2,0.0432017499988433
categorical_effect_seed_3,categorical_effect,False,20,1,1,88.93,True,True,True,1.0,0.04848583397688344
temporal_trend_seed_3,temporal_trend,False,16,1,1,91.33,True,True,True,1.0,0.03527145797852427
skewed_distribution_seed_3,skewed_distribution,False,13,1,1,90.46,True,True,True,1.0,0.02938979200553149
outlier_distribution_seed_3,outlier_distribution,False,13,1,1,72.76,True,True,True,1.0,0.029749417008133605
imbalanced_category_seed_3,category_imbalance,False,13,1,1,59.75,True,True,True,1.0,0.03079200000502169
strong_linear_seed_4,strong_linear,False,19,1,1,97.67,True,True,True,1.0,0.04140562500106171
weak_linear_seed_4,weak_linear,False,19,1,1,57.48,True,True,True,1.0,0.04141320800408721
quadratic_seed_4,nonlinear_quadratic,False,19,2,1,46.26,False,True,True,0.5,0.04134029199485667
categorical_effect_seed_4,categorical_effect,False,20,1,1,89.17,True,True,True,1.0,0.048771083005703986
temporal_trend_seed_4,temporal_trend,False,16,1,1,90.42,True,True,True,1.0,0.034670625027501956
skewed_distribution_seed_4,skewed_distribution,False,13,1,1,90.56,True,True,True,1.0,0.028538832993945107
outlier_distribution_seed_4,outlier_distribution,False,13,1,1,50.81,True,True,True,1.0,0.028628375002881512
imbalanced_category_seed_4,category_imbalance,False,13,1,1,56.58,True,True,True,1.0,0.03177608299301937
