dataset,rank,score,signal,chart,aggregation,x,y,label
palmer_penguins,2,89.07,83.34,scatter,,bill_depth_mm,flipper_length_mm,scatter | bill_depth_mm vs flipper_length_mm
palmer_penguins,3,86.72,79.73,scatter,,bill_depth_mm,body_mass_g,scatter | bill_depth_mm vs body_mass_g
palmer_penguins,6,80.15,69.61,scatter,,bill_length_mm,flipper_length_mm,scatter | bill_length_mm vs flipper_length_mm
palmer_penguins,7,79.09,67.98,bar,mean,species,bill_depth_mm,bar | mean | species vs bill_depth_mm
palmer_penguins,9,78.0,66.29,scatter,,bill_length_mm,body_mass_g,scatter | bill_length_mm vs body_mass_g
palmer_penguins,10,72.29,57.49,scatter,,bill_length_mm,bill_depth_mm,scatter | bill_length_mm vs bill_depth_mm
palmer_penguins,11,71.52,56.31,histogram,,flipper_length_mm,,histogram | flipper_length_mm
palmer_penguins,12,70.54,80.0,line,,year,flipper_length_mm,line | year vs flipper_length_mm
palmer_penguins,13,70.06,54.06,box,,island,flipper_length_mm,box | island vs flipper_length_mm
palmer_penguins,14,67.49,50.11,box,,island,bill_length_mm,box | island vs bill_length_mm
uci_bike_sharing_day,1,99.88,99.82,scatter,,temp,atemp,scatter | temp vs atemp
uci_bike_sharing_day,2,97.0,100.0,line,,dteday,temp,line | dteday vs temp
uci_bike_sharing_day,3,97.0,100.0,line,,dteday,atemp,line | dteday vs atemp
uci_bike_sharing_day,4,92.28,88.13,bar,mean,weekday,workingday,bar | mean | weekday vs workingday
uci_bike_sharing_day,5,90.77,90.11,bar,count,holiday,,bar | count | holiday
uci_bike_sharing_day,7,81.77,71.96,scatter,,atemp,cnt,scatter | atemp vs cnt
uci_bike_sharing_day,8,79.67,68.73,bar,mean,season,temp,bar | mean | season vs temp
uci_bike_sharing_day,9,78.98,67.66,box,,season,atemp,box | season vs atemp
uci_bike_sharing_day,11,76.72,64.18,box,,weathersit,hum,box | weathersit vs hum
uci_bike_sharing_day,12,71.89,56.76,histogram,,temp,,histogram | temp
titanic3,2,96.71,95.0,box,,embarked,fare,box | embarked vs fare
titanic3,4,81.53,92.0,histogram,,sibsp,,histogram | sibsp
titanic3,5,81.53,92.0,histogram,,parch,,histogram | parch
titanic3,6,68.96,52.28,bar,count,embarked,,bar | count | embarked
titanic3,7,68.27,54.11,box,,survived,fare,box | survived vs fare
titanic3,8,67.5,50.01,box,,sex,fare,box | sex vs fare
titanic3,9,67.4,60.11,scatter,,sibsp,fare,scatter | sibsp vs fare
titanic3,10,61.95,50.91,scatter,,parch,fare,scatter | parch vs fare
titanic3,11,59.9,40.0,box,,pclass,parch,box | pclass vs parch
titanic3,12,55.87,43.84,scatter,,sibsp,parch,scatter | sibsp vs parch
uci_bank_marketing,1,99.07,98.56,scatter,,pdays,previous,scatter | pdays vs previous
uci_bank_marketing,2,94.8,92.0,histogram,,pdays,,histogram | pdays
uci_bank_marketing,3,94.8,92.0,histogram,,previous,,histogram | previous
uci_bank_marketing,4,92.75,93.26,bar,count,default,,bar | count | default
uci_bank_marketing,5,88.71,82.63,histogram,,balance,,histogram | balance
uci_bank_marketing,6,86.27,81.32,line,,day,campaign,line | day vs campaign
uci_bank_marketing,7,85.22,77.26,bar,mean,poutcome,pdays,bar | mean | poutcome vs pdays
uci_bank_marketing,8,83.64,78.4,box,,default,balance,box | default vs balance
uci_bank_marketing,9,82.39,72.9,bar,count,poutcome,,bar | count | poutcome
uci_bank_marketing,10,82.14,74.83,line,,day,pdays,line | day vs pdays
